Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1720054012-1;21;145799;12;101-Artes graficas
101;Artes graficas;1720055453-1;22;32696;3;101-Artes graficas
101;Artes graficas;1720056494-2;21;11446;4;101-Artes graficas
101;Artes graficas;1720059172-1;24;26957;16;101-Artes graficas
101;Artes graficas;1720059402-1;23;235401;13;101-Artes graficas
101;Artes graficas;1720059461-1;11;700;11;101-Artes graficas
101;Artes graficas;1720060507-1;24;53602;24;101-Artes graficas
101;Artes graficas;1720062016-1;24;227363;20;101-Artes graficas
101;Artes graficas;1720064531-2;24;3326;1;101-Artes graficas
101;Artes graficas;1720066866-1;24;72881;23;101-Artes graficas
101;Artes graficas;1720067370-1;24;59221;17;101-Artes graficas
101;Artes graficas;1720067577-1;24;565560;24;101-Artes graficas
101;Artes graficas;1720071341-1;24;947398;16;101-Artes graficas
101;Artes graficas;1720080773-1;24;16363;9;101-Artes graficas
101;Artes graficas;1720085324-1;24;1184874;21;101-Artes graficas
101;Artes graficas;1720085811-1;24;47444;16;101-Artes graficas
101;Artes graficas;1720085839-1;24;637499;24;101-Artes graficas
101;Artes graficas;1720088716-1;24;752384;22;101-Artes graficas
101;Artes graficas;1720090385-1;15;2612;1;101-Artes graficas
101;Artes graficas;1720092731-1;23;135348;10;101-Artes graficas
101;Artes graficas;1720096420-1;24;229136;20;101-Artes graficas
101;Artes graficas;1720099590-1;24;7970;21;101-Artes graficas
101;Artes graficas;1720100485-1;24;42364;15;101-Artes graficas
101;Artes graficas;1720100794-1;1;616;1;101-Artes graficas
101;Artes graficas;1720106078-1;24;51569;11;101-Artes graficas
101;Artes graficas;1720106856-1;11;2124;1;101-Artes graficas
101;Artes graficas;1720378656-1;24;203646;18;101-Artes graficas
101;Artes graficas;1720379248-1;24;184695;13;101-Artes graficas
101;Artes graficas;1720380547-1;24;28374;9;101-Artes graficas
101;Artes graficas;1720429742-1;19;103948;8;101-Artes graficas
101;Artes graficas;1720480310-1;24;1793;5;101-Artes graficas
101;Artes graficas;1720530091-1;23;612925;15;101-Artes graficas
101;Artes graficas;1720532976-1;23;247314;19;101-Artes graficas
101;Artes graficas;1720537432-1;23;162173;11;101-Artes graficas
101;Artes graficas;1720540853-1;24;100839;10;101-Artes graficas
101;Artes graficas;1720542600-1;23;529087;16;101-Artes graficas
101;Artes graficas;1720543369-1;23;519533;22;101-Artes graficas
101;Artes graficas;1720544380-1;24;4027;3;101-Artes graficas
101;Artes graficas;1720545220-1;24;29875;8;101-Artes graficas
101;Artes graficas;1720545576-1;22;306463;13;101-Artes graficas
101;Artes graficas;1720546188-1;24;122343;18;101-Artes graficas
101;Artes graficas;1720546340-1;23;207175;18;101-Artes graficas
101;Artes graficas;1720546753-1;17;376848;7;101-Artes graficas
101;Artes graficas;1720547165-1;21;25050;14;101-Artes graficas
101;Artes graficas;1720547376-1;24;474178;21;101-Artes graficas
101;Artes graficas;1720547543-1;23;12534;10;101-Artes graficas
101;Artes graficas;1720548577-1;24;99200;10;101-Artes graficas
101;Artes graficas;1720548769-1;8;3771;5;101-Artes graficas
101;Artes graficas;1720550139-1;24;1693460;24;101-Artes graficas
101;Artes graficas;1720558992-1;24;3079425;24;101-Artes graficas
101;Artes graficas;1720559169-2;16;242429;5;101-Artes graficas
101;Artes graficas;1720560018-1;9;34160;1;101-Artes graficas
101;Artes graficas;1720561388-1;11;2412;1;101-Artes graficas
101;Artes graficas;1720561703-1;23;1230459;21;101-Artes graficas
101;Artes graficas;1720562899-1;24;1139302;24;101-Artes graficas
101;Artes graficas;1720563972-1;24;1695811;19;101-Artes graficas
101;Artes graficas;1760034788-1;16;20436;1;101-Artes graficas
101;Artes graficas;1760035431-1;24;220608;16;101-Artes graficas
101;Artes graficas;1760035437-1;23;493500;17;101-Artes graficas
101;Artes graficas;1760039391-1;24;208872;17;101-Artes graficas
101;Artes graficas;1760056133-1;3;10821;3;101-Artes graficas
101;Artes graficas;1760057244-1;24;150824;13;101-Artes graficas
101;Artes graficas;1760067217-1;21;33066;4;101-Artes graficas
101;Artes graficas;1760072016-1;24;1218645;22;101-Artes graficas
101;Artes graficas;1760075072-1;24;30847;23;101-Artes graficas
101;Artes graficas;1760076917-1;22;24783;13;101-Artes graficas
101;Artes graficas;1760081031-1;23;1324176;21;101-Artes graficas
101;Artes graficas;1760097538-1;24;756057;22;101-Artes graficas
101;Artes graficas;1760099304-1;24;151539;22;101-Artes graficas
101;Artes graficas;1760100553-1;24;9085;4;101-Artes graficas
101;Artes graficas;1760101252-1;18;66190;14;101-Artes graficas
101;Artes graficas;1760106440-1;2;2062;1;101-Artes graficas
101;Artes graficas;1760106440-2;1;157;1;101-Artes graficas
101;Artes graficas;1760109256-1;24;88847;16;101-Artes graficas
101;Artes graficas;1760114414-1;23;48476;21;101-Artes graficas
101;Artes graficas;1760114551-1;24;2165865;22;101-Artes graficas
101;Artes graficas;1760114829-1;10;16156;3;101-Artes graficas
101;Artes graficas;1760117118-1;21;2604;5;101-Artes graficas
