Codigo producto;Gerente;Linea CAM
385;Aseo - Kimberly;Kimberly
386;Aseo - Kimberly;Kimberly
387;Aseo - Kimberly;Kimberly
388;Aseo - Kimberly;Kimberly
390;Papel para escritura;Bristol
391;Papel para escritura;Bristol
392;Papel para escritura;Bristol
393;Papel para escritura;Bristol
402;Aseo - Kimberly;Kimberly
403;Aseo - Kimberly;Kimberly
404;Aseo - Kimberly;Kimberly
405;Aseo - Kimberly;Kimberly
406;Papel para escritura;Otros
407;Papel para escritura;Bond importado
408;Papel para escritura;Bond importado
409;Papel para escritura;Esmaltado importado
412;Cartulina;Cmpc
413;Papel para escritura;Bond importado
414;Cartulina;Cmpc
415;Cartulina;Cmpc
416;Papel para escritura;Otros
417;Papel para escritura;Esmaltado importado
418;Papel para escritura;Esmaltado importado
419;Papel para escritura;Esmaltado importado
423;Papel para escritura;Esmaltado importado
424;Papel para escritura;Esmaltado importado
426;Cartulina;Cmpc
427;Papel para escritura;Otros
428;Papel para escritura;Otros
429;Periodico;Periodico
434;Cartulina;Cmpc
435;Papel para escritura;Bristol
436;Papel para escritura;Bristol
437;Papel para escritura;Bristol
438;Papel para escritura;Bristol
439;Papel para escritura;Bristol
440;Papel para escritura;Bristol
235;Outsourcing de proveeduria;Outsourcing de proveeduria
441;Comunicacion visual;Tintas
442;Comunicacion visual;Tintas
443;Comunicacion visual;Tintas
444;Comunicacion visual;Tintas
445;Comunicacion visual;Tintas
446;Comunicacion visual;Tintas
447;Comunicacion visual;Tintas
448;Comunicacion visual;Tintas
449;Comunicacion visual;Tintas
450;Comunicacion visual;Tintas
451;Comunicacion visual;Tintas
452;Comunicacion visual;Tintas
453;Comunicacion visual;Tintas
454;Comunicacion visual;Tintas
455;Comunicacion visual;Tintas
456;Comunicacion visual;Tintas
457;Comunicacion visual;Tintas
458;Comunicacion visual;Tintas
459;Comunicacion visual;Tintas
461;Periodico;Periodico
462;Papel para escritura;Esmaltado
463;Papel para escritura;Otros
464;Papel para escritura;Otros
465;Periodico;Periodico
466;Papel para escritura;Otros
467;Papel para escritura;Otros
468;Papel para escritura;Otros
469;Papel para escritura;Otros
471;Papel para escritura;Otros
472;Papel para escritura;Otros
473;Papel para escritura;Otros
474;Papel para escritura;Otros
475;Papel para escritura;Otros
476;Papel para escritura;Otros
477;Papel para escritura;Otros
478;Papel para escritura;Otros
479;Papel para escritura;Otros
481;Papel para escritura;Otros
482;Papel para escritura;Otros
483;Papel para escritura;Otros
484;Papel para escritura;Otros
486;Papel para escritura;Otros
487;Papel para escritura;Otros
488;Papel para escritura;Otros
489;Papel para escritura;Otros
491;Papel para escritura;Esmaltado importado
492;Papel para escritura;Esmaltado importado
493;Papel para escritura;Esmaltado importado
494;Papel para escritura;Esmaltado importado
495;Papel para escritura;Otros
496;Papel para escritura;Otros
497;Papel para escritura;Otros
498;Papel para escritura;Otros
499;Papel para escritura;Otros
501;Papel para escritura;Esmaltado
502;Papel para escritura;Esmaltado
504;Papel para escritura;Otros
505;Papel para escritura;Otros
506;Papel para escritura;Otros
507;Papel para escritura;Otros
508;Papel para escritura;Otros
509;Papel para escritura;Esmaltado
511;Papel para escritura;Otros
512;Papel para escritura;Esmaltado importado
513;Papel para escritura;Otros
514;Papel para escritura;Otros
516;Papel para escritura;Otros
517;Papel para escritura;Otros
518;Papel para escritura;Otros
519;Papel para escritura;Otros
521;Papel para escritura;Otros
523;Papel para escritura;Otros
524;Papel para escritura;Otros
525;Papel para escritura;Otros
526;Papel para escritura;Otros
527;Papel para escritura;Otros
528;Papel para escritura;Otros
529;Papel para escritura;Otros
531;Papel para escritura;Otros
532;Papel para escritura;Otros
533;Papel para escritura;Otros
534;Papel para escritura;Otros
535;Papel para escritura;Otros
536;Papel para escritura;Otros
538;Papel para escritura;Otros
539;Papel para escritura;Otros
542;Papel para escritura;Esmaltado importado
549;Papel para escritura;Otros
552;Papel para escritura;Otros
553;Papel para escritura;Otros
555;Papel para escritura;Otros
557;Papel para escritura;Otros
558;Papel para escritura;Esmaltado importado
559;Papel para escritura;Esmaltado importado
561;Papel para escritura;Esmaltado
562;Papel para escritura;Esmaltado
563;Papel para escritura;Esmaltado importado
564;Papel para escritura;Esmaltado importado
566;Papel para escritura;Esmaltado importado
567;Papel para escritura;Esmaltado importado
568;Cartulina;Cmpc
569;Cartulina;Cmpc
571;Papel para escritura;Esmaltado importado
572;Cartulina;Cmpc
573;Cartulina;Cmpc
574;Cartulina;Cmpc
576;Cartulina;Cmpc
290;Papel para escritura;Otros
577;Cartulina;Cmpc
578;Cartulina;Cmpc
579;Cartulina;Cmpc
581;Cartulina;Cmpc
582;Cartulina;Cmpc
583;Cartulina;Cmpc
585;Cartulina;Cmpc
294;Papel para escritura;Otros
586;Cartulina;Cmpc
588;Cartulina;Cmpc
589;Cartulina;Cmpc
593;Papel para escritura;Bond importado
595;Papel para escritura;Otros
299;Papel para escritura;Otros
596;Papel para escritura;Otros
300;Papel para escritura;Otros
597;Papel para escritura;Otros
598;Papel para escritura;Bond importado
599;Papel para escritura;Bond importado
602;Papel para escritura;Esmaltado
603;Papeles especiales;Papel Quimico
604;Papeles especiales;Papel Quimico
605;Papeles especiales;Papel Quimico
606;Papeles especiales;Papel Quimico
607;Papeles especiales;Papel Quimico
608;Papeles especiales;Papel Quimico
609;Papeles especiales;Papel Quimico
610;Papeles especiales;Papel Quimico
611;Papeles especiales;Papel Quimico
612;Papeles especiales;Papel Quimico
613;Papeles especiales;Papel Quimico
614;Papel para escritura;Bond
615;Papel para escritura;Bond
616;Papel para escritura;Bond importado
617;Papel para escritura;Bond importado
310;Papel para escritura;Otros
618;Papel para escritura;Esmaltado importado
619;Papel para escritura;Bond importado
620;Cartulina;Propal
621;Cartulina;Suzano Trading
622;Cartulina;Suzano Trading
623;Papel para escritura;Bond importado
624;Cartulina;Cmpc
625;Papel para escritura;Esmaltado
626;Papel para escritura;Esmaltado importado
627;Papel para escritura;Esmaltado importado
628;Papel para escritura;Esmaltado importado
629;Papel para escritura;Esmaltado importado
630;Cartulina;Propal
631;Cartulina;Cmpc
632;Cartulina;Propal
633;Papel para escritura;Otros
634;Cartulina;Propal
635;Aseo - Kimberly;Kimberly
636;Aseo - Kimberly;Kimberly
320;Papel para escritura;Otros
638;Aseo - Kimberly;Kimberly
642;Papel para escritura;Bond
643;Periodico;Periodico
644;Periodico;Periodico
645;Periodico;Periodico
646;Periodico;Periodico
647;Periodico;Periodico
648;Papel para escritura;Bond importado
649;Papel para escritura;Bond importado
650;Resmilla;Resmilla - Otros
651;Resmilla;Resmilla - Otros
652;Papel para escritura;Bond importado
653;Papel para escritura;Bond importado
655;Papel para escritura;Bond importado
656;Papel para escritura;Bond importado
657;Papel para escritura;Bond importado
658;Papel para escritura;Bond importado
659;Papel para escritura;Bond importado
661;Papel para escritura;Esmaltado importado
330;Papel para escritura;Otros
663;Papel para escritura;Otros
665;Papel para escritura;Otros
671;Papel para escritura;Bond importado
672;Aseo - Kimberly;Kimberly
673;Aseo - Kimberly;Kimberly
674;Aseo - Kimberly;Kimberly
675;Aseo - Kimberly;Kimberly
676;Aseo - Kimberly;Kimberly
677;Aseo - Kimberly;Kimberly
678;Aseo - Kimberly;Kimberly
335;Papel para escritura;Bristol
679;Aseo - Kimberly;Kimberly
681;Aseo - Kimberly;Kimberly
336;Papel para escritura;Bristol
682;Aseo - Kimberly;Kimberly
683;Aseo - Kimberly;Kimberly
337;Papel para escritura;Bristol
684;Aseo - Kimberly;Kimberly
685;Aseo - Kimberly;Kimberly
686;Aseo - Kimberly;Kimberly
687;Aseo - Kimberly;Kimberly
688;Aseo - Kimberly;Kimberly
689;Aseo - Kimberly;Kimberly
340;Papel para escritura;Bristol
691;Papel para escritura;Bond importado
692;Papel para escritura;Bond importado
341;Papel para escritura;Bristol
693;Papel para escritura;Bond importado
696;Papel para escritura;Otros
697;Papel para escritura;Otros
698;Papel para escritura;Otros
699;Papel para escritura;Otros
704;Aseo - Kimberly;Kimberly
705;Aseo - Kimberly;Kimberly
706;Papel para escritura;Otros
707;Papel para escritura;Otros
708;Papel para escritura;Otros
709;Papel para escritura;Otros
714;Papel para escritura;Otros
715;Resmilla;Resmilla - Otros
717;Papel para escritura;Otros
718;Papel para escritura;Otros
350;Papel para escritura;Bristol
719;Papel para escritura;Otros
720;Resmilla;Resmilla - Otros
723;Papel para escritura;Otros
724;Papel para escritura;Otros
725;Resmilla;Resmilla - Otros
726;Resmilla;Resmilla - Otros
727;Papel para escritura;Otros
730;Papel para escritura;Esmaltado
735;Papel para escritura;Esmaltado
762;Papel para escritura;Bond importado
763;Papel para escritura;Bond importado
764;Papel para escritura;Bond importado
765;Papeles especiales;Papel Quimico
766;Papeles especiales;Papel Quimico
767;Papeles especiales;Papel Quimico
768;Papeles especiales;Papel Quimico
769;Papeles especiales;Papel Quimico
771;Papeles especiales;Papel Quimico
360;Papel para escritura;Bristol
772;Papeles especiales;Papel Quimico
773;Papeles especiales;Papel Quimico
361;Papel para escritura;Bristol
774;Papeles especiales;Papel Quimico
775;Papel para escritura;Otros
777;Papel para escritura;Otros
778;Papel para escritura;Otros
779;Papel para escritura;Otros
782;Papel para escritura;Otros
784;Papel para escritura;Otros
785;Papel para escritura;Otros
786;Cartulina;Otros
787;Cartulina;Otros
788;Cartulina;Otros
794;Cartulina;Otros
796;Cartulina;Otros
807;Cartulina;Cmpc
809;Cartulina;Otros
811;Tecnologia Institucional;Tecnologia institucional
812;Tecnologia Institucional;Tecnologia institucional
813;Tecnologia Institucional;Tecnologia institucional
814;Tecnologia Institucional;Tecnologia institucional
815;Tecnologia Institucional;Tecnologia institucional
816;Tecnologia Institucional;Tecnologia institucional
817;Tecnologia Institucional;Tecnologia institucional
818;Tecnologia Institucional;Tecnologia institucional
819;Tecnologia Institucional;Tecnologia institucional
820;Tecnologia Institucional;Tecnologia institucional
821;Tecnologia Institucional;Tecnologia institucional
822;Tecnologia Institucional;Tecnologia institucional
823;Tecnologia Institucional;Tecnologia institucional
824;Tecnologia Institucional;Tecnologia institucional
825;Tecnologia Institucional;Tecnologia institucional
826;Tecnologia Institucional;Tecnologia institucional
827;Tecnologia Institucional;Tecnologia institucional
828;Tecnologia Institucional;Tecnologia institucional
833;Cartulina;Otros
853;Papel para escritura;Otros
854;Papel para escritura;Otros
855;Papel para escritura;Otros
856;Papel para escritura;Otros
380;Papel para escritura;Bristol
857;Papel para escritura;Otros
858;Papel para escritura;Otros
859;Papel para escritura;Otros
860;Outsourcing de proveeduria;Outsourcing de proveeduria
861;Tecnologia Institucional;Tecnologia institucional
862;Tecnologia Institucional;Tecnologia institucional
863;Outsourcing de proveeduria;Outsourcing de proveeduria
864;Outsourcing de proveeduria;Outsourcing de proveeduria
865;Outsourcing de proveeduria;Outsourcing de proveeduria
866;Outsourcing de proveeduria;Outsourcing de proveeduria
867;Outsourcing de proveeduria;Outsourcing de proveeduria
868;Outsourcing de proveeduria;Outsourcing de proveeduria
869;Outsourcing de proveeduria;Outsourcing de proveeduria
870;Outsourcing de proveeduria;Outsourcing de proveeduria
871;Outsourcing de proveeduria;Outsourcing de proveeduria
872;Outsourcing de proveeduria;Outsourcing de proveeduria
874;Outsourcing de proveeduria;Outsourcing de proveeduria
